text	label
lereng anteng	1
punclut	1
bandung barat	1
orchid forest	1
cikole	1
lembang	1
Taman Kardus	1
trizara resort	1
cihideung	1
dago dreampark	1
taman love	1
bukit perkemahan	1
ranca upas	1
ciwidey	1
rainbow garden	1
floating market	1
d.dieuland	1
glamping laksade	1
kawah putih	1
bukit jamur	1
rancabali	1
taman nasional	1
kareumbi	1
cicalengka	1
curug layung	1
puncak artapela	1
kab bandung	1
puncak	1
caringin tilu	1
bandung	1
cipanas	1
nagrak	1
jl braga asia-afrika	1
sawah	1
gedebage	1
curug malela	1
kecamatan rongga	1
kab bandung barat	1
pangalengan	1
bandung creative hub	1
tebing keraton	1
selfie	1
jl rancabentang	1
ciumbuleuit	1
barusenhills	1
dusun bambu	1
cisarua	1
nyawang	1
hutan kota	1
babakan siliwangi	1
curug cisaladah	1
ciwangun indah camp	1
gedung sate	1
food lovers	1
ngemil	1
food lover	1
kantor	1
antapani	1
stone garden	1
padalarang	1
es alpukat kocok	1
galerinya	1
dago	1
makan	1
batagor	1
manis	1
unyu	1
adem	1
sampah	1
ngopi	1
langit	1
bintang	1
cukul	1
lapang sepak bola	1
Hujan	2
Pagi	2
Siang	2
Sore	2
Malam	2
Car free day	2
Mendung	2
Jalan Santai	2
Ngabuburit	2
Cerah	2
Aktifitas	2
Hari	2
Liburan	2
Weekend	2
wilujeng enjing	2
sonten	2
Gelap gulita	2
Cari Catering	2
Ulang tahun Bandung	2
Acara	2
Konfrensi Asia Afrika	2
Peringatan Bandung Lautan Api	2
Berlari	2
Persahabatan	2
long weekend	2
nongkrong	2
Belanja	2
morning	2
makan-makan	2
pesona alam	2
pemandangan	2
bukber	2
hari	2
mendaki	2
nonton persib	2
buka puasa	2
jalan-jalan	2
makan pedas	2
diskon	2
cahaya malam	2
beraktifitas	2
wisaata malam	2
bertualang	2
mentari pagi	2
malmingan	2
bergadang	2
berendam	2
camping	2
bersepeda	2
selfie	2
ngopi-ngopi	2
alam	2
hunting	2
mayday	2
pameran budaya	2
wisata sejarah	2
wisata kuliner	2
Asian African carnical	2
car free night	2
senja	2
piknik	2
taman	2
kota kembang	2
santai	2
refreshing	2
olahraga	2
macet	2
murah	2
kesegaran	2
karnaval kuliner	2
cari takjil	2
makanan khas	2
keju meleleh	2
porsi besar	2
Lebaran	2
Baju lebaran	2
malam takbir	2
Foto bareng hantu	2
Foto bareng hantu	2
festival foto braga	2
refreshing	2
gemerlap lampu	2
level pedas	2
sawah	2
menara	2
durian festival	2
bazzar	2
senam pagi	2
konser	2
masakan sunda	2
masakan korea	2
enak	2
banyak	2
ngopi	2
berkelana	2
traveling	2
paparahuan	2
outbond	2
alam terbuka	2
cuaca	2
promo	2
takjil gratis	2
sahur gratis	2
lapar	2
haus	2
istirahat	2
ibadah	2
kenyang	2
sejarah	2
ngeteh	2
wilujeng wengi	2
bolu susu lembang	2
persib day	2
wilung leleson	2
bangunan sejarah	2
mentari pagi	2
sinar rembulan	2
curhat	2
mahakarya pencipta	2
shoping center	2
fajar	2
ulin	2
percikan air curug	2
rampak kendang	2
nyurug	2
parade musik	2
parade lampion	2
pesta kembang api	2
bersantai	2
bermain	2
berolahraga	2
bersepeda	2
minggu	2
holiday	2
live music	2
teater	2
berdoa	2
hari jadi	2
kota bandung	2
jomblo	2
akhir pekan	2
pentas seni	2
panggung teater	2
pertunjukan angklung	2
wayang golek	2
konser	2
konser band	2
drama musikal	2
calung sunda	2
prasasti	2
rampak kendang	2
fotographi	2
bandung big heart	2
festival seni	2
budaya musik	2
musik patrol	2
buka bersama	2
ngabuburitfest	2
workshop	2
baso aci	2
es kepal milo	2
berburu makanan	2
buku	2
hari buku nasional	2
bandung histo - race	2
film daerah	2
asian games	2
art goes to school	2
mojang jajaka bandung	2
food truck festival	2
kompetisi pariwisata	2
belajar	2
unity run	2
hari buruh	2
lomba musik angklung	2
kota belanja	2
trend fashion	2
diskusi budaya	2
hari angkutan nasional	2
hari bumi	2
